"station_id";"codestation";"inseecom";"coordx";"coordy";"codecourseau";"libellecourseau";"codetronconhydro";"coderegion";"codedepartement";"naturestation";"libellenaturestation";"typeentitehydro";"cdtronconh";"idtronconh";"nomentiteh";"etat";"sens";"largeur";"nature";"navigable";"source";"target";"troncon_id";"gid";"distance";"cdentitehy";"nomentiteh_plando";"distance_planeau";"verif_cdho"
21074;"L6115233";"36124";"574007.2";"6627192";NULL;NULL;NULL;"24";"36";"M";"Station de mesure Manuelle";"1";"L6114620";"425001844";NULL;"Intermittent";"Sens du tronçon";"De 0 à 15 mètres";"Cours d'eau naturel";"Non navigable";124975;124976;88526;"306540";"184.74420152941235";"L6115233";"étang de la fourdine";"0";False
21075;"L4759093";"36096";"554778.8";"6627887";NULL;NULL;NULL;"24";"36";"M";"Station de mesure Manuelle";"1";"L6127802";"425001780";NULL;"Intermittent";"Inconnu";"De 0 à 15 mètres";"Canal, chenal";"Non navigable";125621;125553;89261;"307279";"823.2058369527297";"L4759093";NULL;"0";False
21076;"L6115243";"36232";"574043.6";"6627519";NULL;NULL;NULL;"24";"36";"M";"Station de mesure Manuelle";"1";"L6114640";"425001829";NULL;"Intermittent";"Sens du tronçon";"De 0 à 15 mètres";"Cours d'eau naturel";"Non navigable";125074;125042;88637;"306652";"151.41456336302952";"L6115243";NULL;"0";False
21077;"L503510";"87083";"582147.5";"6556148";NULL;NULL;NULL;"75";"87";"M";"Station de mesure Manuelle";"1";"L5037500";"424002837";NULL;"Fictif";"Sens du tronçon";"Sans objet";"Cours d'eau naturel";"Non navigable";94419;94454;53633;"271608";"4.234740214992234";"L5035103";"lac du pont de l'age";"0";False
21078;"L6115253";"36232";"573956.2";"6627928";NULL;NULL;NULL;"24";"36";"M";"Station de mesure Manuelle";"1";"L6114680";"425001803";NULL;"Intermittent";"Sens du tronçon";"De 0 à 15 mètres";"Cours d'eau naturel";"Non navigable";125181;125177;88747;"306759";"91.67295129908334";"L6115253";NULL;"0";False
21079;"L6115343";"36232";"572810.6";"6634314";NULL;NULL;NULL;"24";"36";"M";"Station de mesure Manuelle";"1";"L6114770";"425001259";NULL;"Fictif";"Sens du tronçon";"De 0 à 15 mètres";"Cours d'eau naturel";"Non navigable";8652;128729;92709;"310724";"120.50701223758175";"L6115343";"étang de nioron";"0";False
21081;"L5567100";"36114";"557100.5";"6609383";NULL;NULL;NULL;"24";"36";"M";"Station de mesure Manuelle";"1";"L5565000";"424000192";NULL;"Fictif";"Sens du tronçon";"De 0 à 15 mètres";"Cours d'eau naturel";"Non navigable";116798;116769;79388;"297412";"20.70390956041219";"L5567103";"étang de la gorce";"0";False
21082;"L6115393";"36232";"571698";"6628440";NULL;NULL;NULL;"24";"36";"M";"Station de mesure Manuelle";"1";"L6115000";"425001753";NULL;"Intermittent";"Sens du tronçon";"De 0 à 15 mètres";"Cours d'eau naturel";"Non navigable";125536;125537;89164;"307180";"239.1122330547922";"L6115393";"étang des planchettes";"0";False
21086;"L6100001";"36010";"550582.7";"6641086";NULL;NULL;NULL;"24";"36";"M";"Station de mesure Manuelle";"1";"L6134200";"425000878";NULL;"Intermittent";"Sens du tronçon";"De 0 à 15 mètres";"Cours d'eau naturel";"Non navigable";132320;132282;96800;"314801";"16.52150115111257";"L6206403";"étangs gilet six cent quarante";"1231.9170264194931";False
21087;"L6115560";"36123";"569028.2";"6633515";NULL;NULL;NULL;"24";"36";"M";"Station de mesure Manuelle";"1";"L6118600";"450008783";NULL;"Intermittent";"Sens du tronçon";"De 0 à 15 mètres";"Cours d'eau naturel";"Non navigable";128262;128263;92182;"310192";"116.73889668503325";"L6115563";NULL;"0";False
21088;"L6100002";"36010";"552391.4";"6644198";NULL;NULL;NULL;"24";"36";"M";"Station de mesure Manuelle";"1";"L6134100";"425000778";"ruisseau le clecq";"Intermittent";"Sens du tronçon";"De 0 à 15 mètres";"Cours d'eau naturel";"Non navigable";134006;133792;98669;"316665";"172.63719182301006";"L6135003";NULL;"133.20690673162028";False
21089;"L6115570";"36123";"567316.7";"6634718";NULL;NULL;NULL;"24";"36";"M";"Station de mesure Manuelle";"1";"L6118640";"425001244";NULL;"Intermittent";"Sens du tronçon";"De 0 à 15 mètres";"Cours d'eau naturel";"Non navigable";128795;128770;92775;"310789";"132.06108435304506";"L6115573";NULL;"0";False
21092;"L6100004";"36173";"564180.7";"6627200.99";NULL;NULL;NULL;"24";"36";"M";"Station de mesure Manuelle";"1";"L6126000";"425001877";NULL;"Intermittent";"Sens du tronçon";"De 0 à 15 mètres";"Cours d'eau naturel";"Non navigable";124620;124621;88137;"306155";"596.7603422697927";"L6129993";"étang bâtard";"80.85892715276619";False
21093;"L6116353";"36118";"576494.6";"6624980";NULL;NULL;NULL;"24";"36";"M";"Station de mesure Manuelle";"1";"L6114560";"425001978";NULL;"Permanent";"Sens du tronçon";"De 0 à 15 mètres";"Cours d'eau naturel";"Non navigable";124515;124516;88012;"306027";"157.49825395396292";"L6116353";"étang rousseau";"0";False
